x,y,yaw
0,0,1.748758345096
-0.005105,0.028382,1.724056528663
-0.00897,0.058072,1.687069752759
-0.012128,0.08851,1.670975313511
-0.015108,0.119134,1.674159071099
-0.018443,0.149385,1.696939355847
-0.022662,0.178702,1.74160647875
-0.028298,0.206523,1.812662966773
-0.035882,0.232289,1.917013965641
-0.045944,0.255438,2.063212974613
-0.059016,0.27541,2.247064059782
-0.075541,0.292318,2.427088287424
-0.095213,0.306807,2.572679238593
-0.117443,0.319111,2.687481540222
-0.141639,0.329469,2.776857839325
-0.167213,0.338115,2.845970951916
-0.193574,0.345285,2.898889498526
-0.220131,0.351216,2.938463211625
-0.246295,0.356144,2.966395933255
-0.271475,0.360305,2.983251935933
-0.295082,0.363934,3.002529790736
-0.318138,0.366836,3.040924001432
-0.341823,0.368656,3.087969460604
-0.365784,0.369393,3.133369154758
-0.389666,0.369049,-3.104203602112
-0.413115,0.367623,-3.056474581577
-0.435777,0.365115,-3.004436082438
-0.457298,0.361525,-2.94528998948
-0.477325,0.356852,-2.875166327689
-0.495502,0.351098,-2.788388727436
-0.511475,0.344262,-2.705671056753
-0.525275,0.33723,-2.651477099489
-0.537285,0.330492,-2.590525704511
-0.547682,0.323459,-2.483935476314
-0.556643,0.315541,-2.337088535074
-0.564344,0.306148,-2.172603057779
-0.570964,0.294689,-2.020190175433
-0.576679,0.280574,-1.898534833575
-0.581666,0.263213,-1.810485941994
-0.586102,0.242016,-1.750354012367
-0.590164,0.216393,-1.701311836494
-0.593705,0.184092,-1.658101184153
-0.596459,0.144472,-1.62646200021
-0.598426,0.099364,-1.604312689682
-0.599607,0.050597,-1.586633450434
-0.6,0,-1.570796326795
-0.599607,-0.050597,-1.554959203156
-0.598426,-0.099364,-1.537279963908
-0.596459,-0.144472,-1.51513065338
-0.593705,-0.184092,-1.483491469437
-0.590164,-0.216393,-1.440280817096
-0.586102,-0.242016,-1.391238641222
-0.581666,-0.263213,-1.331106711596
-0.576679,-0.280574,-1.243057820014
-0.570964,-0.294689,-1.121402478156
-0.564344,-0.306148,-0.96898959581
-0.556643,-0.315541,-0.804504118516
-0.547682,-0.323459,-0.657657177276
-0.537285,-0.330492,-0.551066949078
-0.525275,-0.33723,-0.490115554101
-0.511475,-0.344262,-0.435921596837
-0.495502,-0.351098,-0.353203926154
-0.477325,-0.356852,-0.266426325901
-0.457298,-0.361525,-0.19630266411
-0.435777,-0.365115,-0.137156571152
-0.413115,-0.367623,-0.085118072013
-0.389666,-0.369049,-0.037389051478
-0.365784,-0.369393,0.008223498832
-0.341823,-0.368656,0.053623192986
-0.318138,-0.366836,0.100668652158
-0.295082,-0.363934,0.139062862854
-0.271475,-0.360305,0.158340717657
-0.246295,-0.356144,0.175196720334
-0.220131,-0.351216,0.203129441965
-0.193574,-0.345285,0.242703155064
-0.167213,-0.338115,0.295621701674
-0.141639,-0.329469,0.364734814264
-0.117443,-0.319111,0.454111113368
-0.095213,-0.306807,0.568913414997
-0.075541,-0.292318,0.714504366165
-0.059016,-0.27541,0.894528593807
-0.045944,-0.255438,1.078379678976
-0.035882,-0.232289,1.224578687949
-0.028298,-0.206523,1.328929686817
-0.022662,-0.178702,1.39998617484
-0.018443,-0.149385,1.444653297743
-0.015108,-0.119134,1.467433582491
-0.012128,-0.08851,1.470617340079
-0.00897,-0.058072,1.454522900831
-0.005105,-0.028382,1.417536124926
0,0,1.392834308494
0.005105,0.028382,1.417536124926
0.00897,0.058072,1.454522900831
0.012128,0.08851,1.470617340079
0.015108,0.119134,1.467433582491
0.018443,0.149385,1.444653297743
0.022662,0.178702,1.39998617484
0.028298,0.206523,1.328929686817
0.035882,0.232289,1.224578687949
0.045944,0.255438,1.078379678976
0.059016,0.27541,0.894528593807
0.075541,0.292318,0.714504366165
0.095213,0.306807,0.568913414997
0.117443,0.319111,0.454111113368
0.141639,0.329469,0.364734814264
0.167213,0.338115,0.295621701674
0.193574,0.345285,0.242703155064
0.220131,0.351216,0.203129441965
0.246295,0.356144,0.175196720334
0.271475,0.360305,0.158340717657
0.295082,0.363934,0.139062862854
0.318138,0.366836,0.100668652158
0.341823,0.368656,0.053623192986
0.365784,0.369393,0.008223498832
0.389666,0.369049,-0.037389051478
0.413115,0.367623,-0.085118072013
0.435777,0.365115,-0.137156571152
0.457298,0.361525,-0.19630266411
0.477325,0.356852,-0.266426325901
0.495502,0.351098,-0.353203926154
0.511475,0.344262,-0.435921596837
0.525275,0.33723,-0.490115554101
0.537285,0.330492,-0.551066949078
0.547682,0.323459,-0.657657177276
0.556643,0.315541,-0.804504118516
0.564344,0.306148,-0.96898959581
0.570964,0.294689,-1.121402478156
0.576679,0.280574,-1.243057820014
0.581666,0.263213,-1.331106711596
0.586102,0.242016,-1.391238641222
0.590164,0.216393,-1.440280817096
0.593705,0.184092,-1.483491469437
0.596459,0.144472,-1.51513065338
0.598426,0.099364,-1.537279963908
0.599607,0.050597,-1.554959203156
0.6,0,-1.570796326795
0.599607,-0.050597,-1.586633450434
0.598426,-0.099364,-1.604312689682
0.596459,-0.144472,-1.62646200021
0.593705,-0.184092,-1.658101184153
0.590164,-0.216393,-1.701311836494
0.586102,-0.242016,-1.750354012367
0.581666,-0.263213,-1.810485941994
0.576679,-0.280574,-1.898534833575
0.570964,-0.294689,-2.020190175433
0.564344,-0.306148,-2.172603057779
0.556643,-0.315541,-2.337088535074
0.547682,-0.323459,-2.483935476314
0.537285,-0.330492,-2.590525704511
0.525275,-0.33723,-2.651477099489
0.511475,-0.344262,-2.705671056753
0.495502,-0.351098,-2.788388727436
0.477325,-0.356852,-2.875166327689
0.457298,-0.361525,-2.94528998948
0.435777,-0.365115,-3.004436082438
0.413115,-0.367623,-3.056474581577
0.389666,-0.369049,-3.104203602112
0.365784,-0.369393,3.133369154758
0.341823,-0.368656,3.087969460604
0.318138,-0.366836,3.040924001432
0.295082,-0.363934,3.002529790736
0.271475,-0.360305,2.983251935933
0.246295,-0.356144,2.966395933255
0.220131,-0.351216,2.938463211625
0.193574,-0.345285,2.898889498526
0.167213,-0.338115,2.845970951916
0.141639,-0.329469,2.776857839325
0.117443,-0.319111,2.687481540222
0.095213,-0.306807,2.572679238593
0.075541,-0.292318,2.427088287424
0.059016,-0.27541,2.247064059782
0.045944,-0.255438,2.063212974613
0.035882,-0.232289,1.917013965641
0.028298,-0.206523,1.812662966773
0.022662,-0.178702,1.74160647875
0.018443,-0.149385,1.696939355847
0.015108,-0.119134,1.674159071099
0.012128,-0.08851,1.670975313511
0.00897,-0.058072,1.687069752759
0.005105,-0.028382,1.724056528663
0,0,1.748758345096
